# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
45900 7.26634 8.52637 8.28257 24.0753
46000 7.4163 8.67462 8.4809 24.5718
46100 7.22461 8.40164 8.06938 23.6956
46200 7.5326 8.79713 7.91583 24.2456
46300 7.82207 8.44914 8.0286 24.2998
46400 7.45339 8.28368 8.12961 23.8667
46500 7.65839 8.79339 8.29566 24.7474
46600 7.50492 8.92412 8.24141 24.6704
46700 7.21708 8.79731 8.06626 24.0807
46800 7.59721 8.63487 8.33078 24.5629
46900 7.94143 8.49387 8.22936 24.6647
47000 7.49824 8.55457 8.63867 24.6915
47100 7.41706 8.6371 8.41455 24.4687
47200 7.63931 8.84373 8.5436 25.0266
47300 8.03935 8.86117 8.27656 25.1771
47400 7.82781 8.92761 8.50178 25.2572
47500 7.66588 8.44401 8.48908 24.599
47600 7.49788 8.33503 8.70393 24.5368
47700 7.43613 8.36414 8.30739 24.1077
47800 7.94761 8.72934 8.56198 25.2389
47900 7.64838 8.37335 8.60265 24.6244
48000 8.03572 8.66162 8.61985 25.3172
48100 7.55703 8.21956 8.66896 24.4455
48200 7.79671 8.67655 8.65731 25.1306
48300 7.57707 8.58554 8.44068 24.6033
48400 7.64735 8.03981 8.44804 24.1352
48500 7.63361 8.51849 8.28819 24.4403
48600 7.49997 8.59983 8.02749 24.1273
48700 7.62437 8.17325 7.84396 23.6416
48800 7.67154 7.58854 8.19598 23.456
48900 7.69705 8.25229 8.13072 24.0801
49000 7.56622 8.22649 8.26934 24.062
49100 7.62039 8.4197 8.03003 24.0701
49200 7.45236 8.74313 8.16442 24.3599
49300 7.56708 8.00804 8.21271 23.7878
49400 7.94911 8.10968 8.46729 24.5261
49500 7.58738 8.24613 8.00025 23.8338
49600 7.70406 8.09 7.94326 23.7373
49700 7.6901 7.83937 8.38166 23.9111
49800 7.65221 8.23904 8.46788 24.3591
49900 7.78634 7.67568 8.18576 23.6478
50000 8.14439 8.07961 8.4736 24.6976
50100 7.9575 8.18578 8.69844 24.8417
50200 8.1345 8.77867 8.22453 25.1377
50300 8.32755 8.78054 8.23756 25.3456
50400 8.19591 8.52439 8.25839 24.9787
50500 7.8094 8.62621 8.05617 24.4918
50600 7.96413 8.18766 8.73011 24.8819
50700 8.03618 8.14195 8.71019 24.8883
50800 8.14208 8.27087 8.73246 25.1454
50900 8.23453 8.20339 8.12471 24.5626
